drug,target
Menadione,P00734
Menadione,P04070
Menadione,P08709
Menadione,P38435
Menadione,P15559
Menadione,Q8N0U8
Menadione,P07225
Menadione,P00740
Phenylephrine,P25100
Phenylephrine,P35368
Phenylephrine,P35348
Rivaroxaban,P00742
Bromodiphenhydramine,P35367
Zanamivir,P27907
Zanamivir,Q9Y3R4
Zanamivir,P06818
Pomalidomide,P01375
Pomalidomide,P35354
Pomalidomide,Q96SW2
Rimantadine,P21430
Decamethonium,P22303
Decamethonium,Q15822
Aminolevulinic acid,P13716
Glyburide,P48048
Glyburide,P13569
Glyburide,P50416
Glyburide,P48544
Glyburide,O60706
Glyburide,O95342
Glyburide,Q14654
Glyburide,Q09428
Glyburide,O95477
Glyburide,Q15842
Brinzolamide,P00915
Brinzolamide,P00918
Brinzolamide,P35218
Brinzolamide,P22748
Carbidopa,P20711
Enprofylline,P29274
Enprofylline,P0DMS8
Enprofylline,P27815
Enprofylline,P30542
Enprofylline,P29275
Enprofylline,Q07343
Propafenone,Q12809
Propafenone,Q14524
Norgestimate,P06401
Norgestimate,P03372
Urea C-14,Q8KT33
Cyclobenzaprine,P28223
Ampicillin,Q7CRA4
Ampicillin,Q75Y35
Ampicillin,Q8DR59
Ampicillin,Q02763
Ampicillin,Q16348
Ampicillin,P0A3M6
Ampicillin,Q8DNB6
Ampicillin,P46059
Alvimopan,P35372
Alvimopan,P41145
Alvimopan,P41143
Isothipendyl,P35367
Cinitapride,Q13639
Cinitapride,P28223
Cinitapride,P08908
Celiprolol,P08588
Celiprolol,P07550
Raltegravir,Q7ZJM1
Lisinopril,Q9BYF1
Lisinopril,P12821
Neomycin,P0A7S3
Tolterodine,P20309
Tolterodine,P08173
Tolterodine,P08912
Tolterodine,P11229
Tolterodine,P08172
Benzylpenicilloyl Polylysine,P12319
Benzylpenicilloyl Polylysine,P30273
Crofelemer,P13569
Crofelemer,Q5XXA6
Nimesulide,Q9NZK7
Nimesulide,P35354
Nimesulide,P02788
Ceftibuten,P02919
Ceftibuten,P0AD68
Ceftibuten,P0AD65
Ceftibuten,P02918
Timolol,P00720
Timolol,P08588
Timolol,P07550
Nitroglycerin,P16066
Anisotropine Methylbromide,P20309
Anisotropine Methylbromide,P11229
Anisotropine Methylbromide,P08172
Simeprevir,Q91RS4
Fesoterodine,P20309
Fesoterodine,P08173
Fesoterodine,P08912
Fesoterodine,P11229
Fesoterodine,P08172
Nitroxoline,P50579
Sertraline,P31645
Sertraline,Q01959
Cladribine,Q07864
Cladribine,P56282
Cladribine,Q9NR33
Cladribine,P09884
Cladribine,Q9NRF9
Cladribine,Q7LG56
Cladribine,P23921
Cladribine,P31350
Cladribine,P00491
Pralidoxime,P06276
Pralidoxime,P22303
Ethanol,P47869
Ethanol,P48549
Ethanol,P19320
Ethanol,P78334
Ethanol,Q8WXA8
Ethanol,Q05901
Ethanol,P23415
Ethanol,P36544
Ethanol,Q8TCU5
Ethanol,Q13698
Ethanol,Q70Z44
Ethanol,P18505
Ethanol,P43681
Ethanol,P14867
Ethanol,P48058
Ethanol,P42261
Ethanol,O00591
Ethanol,P47870
Ethanol,P48544
Ethanol,P46098
Ethanol,Q06432
Ethanol,Q14542
Ethanol,P42262
Ethanol,P23416
Ethanol,A5X5Y0
Ethanol,Q9UGM1
Ethanol,O14764
Ethanol,Q8N1C3
Ethanol,P31644
Ethanol,P34903
Ethanol,Q92806
Ethanol,P28472
Ethanol,Q9GZZ6
Ethanol,P30926
Ethanol,P30532
Ethanol,Q99928
Ethanol,Q01668
Ethanol,Q99808
Ethanol,P48169
Ethanol,Q15825
Ethanol,O95264
Ethanol,Q02641
Ethanol,Q16445
Ethanol,Q13936
Ethanol,Q15822
Ethanol,Q9Y698
Ethanol,P48051
Ethanol,Q9UN88
Ethanol,P42263
Ethanol,P32297
Ethanol,P17787
Sulpiride,P14416
Sulpiride,P35462
Exemestane,P11511
Cytisine,P36544
Cytisine,P43681
Cytisine,Q15825
Cytisine,P32297
Pentamidine,O14717
Lincomycin,P0A7J6
Lopinavir,Q72874
Mitoxantrone,P11388
Ketorolac,P23219
Ketorolac,P35354
Tolnaftate,Q92206
Iloperidone,P21917
Iloperidone,P35367
Iloperidone,P14416
Iloperidone,P28223
Iloperidone,P08908
Iloperidone,P21728
Iloperidone,P35348
Iloperidone,P34969
Iloperidone,P35462
Iloperidone,P18825
Iloperidone,P50406
Sparfloxacin,P43700
Sparfloxacin,P43702
Sparfloxacin,P11388
Nandrolone phenpropionate,P10275
Permethrin,P35498
Dronedarone,O00305
Dronedarone,P08913
Dronedarone,Q12809
Dronedarone,Q13698
Dronedarone,P08588
Dronedarone,P18089
Dronedarone,P25100
Dronedarone,Q08289
Dronedarone,P35368
Dronedarone,P35348
Dronedarone,P35498
Dronedarone,O60840
Dronedarone,O95069
Dronedarone,Q01668
Dronedarone,Q02641
Dronedarone,Q13936
Dronedarone,P18825
Dronedarone,P54284
Cortisone acetate,P04150
Misoprostol,P35408
Misoprostol,P43115
Misoprostol,P43116
Prucalopride,Q13639
Darunavir,Q72874
Salicylic acid,P23219
Salicylic acid,Q04828
Salicylic acid,P35354
Dexbrompheniramine,P35367
Ethambutol,P0A560
Ethambutol,P72059
Ethambutol,P72030
Dihomo-gamma-linolenic acid,P23219
Dihomo-gamma-linolenic acid,P35354
Digoxin,P05023
Dextromethorphan,P36544
Dextromethorphan,Q8TCU5
Dextromethorphan,Q5T1J1
Dextromethorphan,P43681
Dextromethorphan,P14598
Dextromethorphan,P35372
Dextromethorphan,P31645
Dextromethorphan,P41145
Dextromethorphan,P15153
Dextromethorphan,P13498
Dextromethorphan,Q15080
Dextromethorphan,P04839
Dextromethorphan,P19878
Dextromethorphan,P30926
Dextromethorphan,Q99720
Dextromethorphan,P63000
Dextromethorphan,Q15822
Dextromethorphan,O00264
Dextromethorphan,P23975
Dextromethorphan,P32297
Dextromethorphan,P17787
Dextromethorphan,P41143
Albendazole,P68371
Albendazole,F1L7U3
Albendazole,Q71U36
Albendazole,P83223
Daunorubicin,Q02880
Daunorubicin,P11388
Nadroparin,P01100
Nadroparin,P16109
Nadroparin,P01008
Nadroparin,P01106
Oxycodone,P02763
Oxycodone,P35372
Oxycodone,P41145
Oxycodone,P19652
Oxycodone,P41143
Moricizine,Q14524
Lumiracoxib,P23219
Lumiracoxib,P35354
Trifluoperazine,P26447
Trifluoperazine,P14416
Trifluoperazine,P63316
Trifluoperazine,P35348
Trifluoperazine,P62158
Trifluoperazine,Q9NYX4
Cabozantinib,P08581
Cabozantinib,P35968
Cabozantinib,P07949
Astemizole,P35367
Astemizole,Q12809
Desogestrel,P06401
Desogestrel,P03372
Rizatriptan,P28221
Rizatriptan,P28222
Rizatriptan,P30939
Trimipramine,P08909
Trimipramine,P20309
Trimipramine,P08913
Trimipramine,P35367
Trimipramine,P28221
Trimipramine,P21918
Trimipramine,P14416
Trimipramine,P13945
Trimipramine,P28223
Trimipramine,P08588
Trimipramine,P18089
Trimipramine,P31645
Trimipramine,P08173
Trimipramine,P08908
Trimipramine,P08912
Trimipramine,P21728
Trimipramine,P35368
Trimipramine,P46098
Trimipramine,P35348
Trimipramine,P07550
Trimipramine,Q01959
Trimipramine,P11229
Trimipramine,P28335
Trimipramine,P23975
Trimipramine,P08172
Eszopiclone,P47869
Eszopiclone,P78334
Eszopiclone,P18505
Eszopiclone,P14867
Eszopiclone,O00591
Eszopiclone,P47870
Eszopiclone,P30536
Eszopiclone,O14764
Eszopiclone,Q8N1C3
Eszopiclone,P31644
Eszopiclone,P34903
Eszopiclone,P28472
Eszopiclone,Q99928
Eszopiclone,P48169
Eszopiclone,Q16445
Eszopiclone,Q9UN88
Eszopiclone,P18507
Deoxycholic Acid,P07445
Deoxycholic Acid,P31224
Deoxycholic Acid,P25553
Deoxycholic Acid,P54965
Deoxycholic Acid,Q03736
Deoxycholic Acid,P33517
Deoxycholic Acid,Q8GGK7
Deoxycholic Acid,Q7Z2Z2
Vigabatrin,P80404
Vigabatrin,Q9UBS5
Methotrexate,P00374
Candesartan,P30556
Amiodarone,Q12809
Amiodarone,P08588
Amiodarone,O95180
Amiodarone,Q9NY47
Guanidine,P00720
Guanidine,P53608
Guanidine,P0A6E4
Guanidine,P78352
Guanidine,P05091
Guanidine,Q14353
Guanidine,P07998
Mesalazine,P23219
Mesalazine,P37231
Mesalazine,P0A5L8
Mesalazine,P05164
Mesalazine,O14920
Mesalazine,P35354
Mesalazine,P09917
Mesalazine,O15111
Febuxostat,P47989
Omeprazole,P20648
Cisatracurium besylate,Q15822
Flutamide,P10275
Flutamide,P35869
Vilanterol,P07550
Olodaterol,P07550
Benazepril,P12821
Risperidone,P08913
Risperidone,P21917
Risperidone,P35367
Risperidone,P28221
Risperidone,P14416
Risperidone,P28223
Risperidone,P18089
Risperidone,P08908
Risperidone,P21728
Risperidone,P35368
Risperidone,P35348
Risperidone,P35462
Risperidone,P28335
Risperidone,P18825
Cilostazol,Q14432
Ketotifen,P52209
Ketotifen,P35367
Ketotifen,Q13946
Ketotifen,Q9NP56
Ketotifen,Q08499
Ketotifen,Q08493
Ketotifen,P27815
Ketotifen,O95263
Ketotifen,Q07343
Ketotifen,O60658
Dexmethylphenidate,P31645
Dexmethylphenidate,Q01959
Dexmethylphenidate,P23975
Bilastine,P35367
Ramelteon,P48039
Ramelteon,P49286
Diphenylpyraline,P35367
Diphenylpyraline,Q01959
Captodiame,Q99720
Captodiame,P35462
Captodiame,P28335
Sucralfate,P09038
Sucralfate,P02671
Sucralfate,P02679
Sucralfate,P01133
Sucralfate,P02675
Warfarin,Q9BQB6
Methdilazine,P35367
Moexipril,Q9BYF1
Moexipril,P12821
Ximelagatran,P00734
Pyrimethamine,P13922
Pyrimethamine,P00374
Ticlopidine,Q9H244
Cyclopentolate,P11229
Chlordiazepoxide,P47869
Chlordiazepoxide,P78334
Chlordiazepoxide,P18505
Chlordiazepoxide,P14867
Chlordiazepoxide,O00591
Chlordiazepoxide,P47870
Chlordiazepoxide,O14764
Chlordiazepoxide,Q8N1C3
Chlordiazepoxide,P31644
Chlordiazepoxide,P34903
Chlordiazepoxide,P28472
Chlordiazepoxide,Q99928
Chlordiazepoxide,P48169
Chlordiazepoxide,Q16445
Chlordiazepoxide,Q9UN88
Chlordiazepoxide,P18507
Thiabendazole,P00363
Mianserin,P08913
Mianserin,P35367
Mianserin,P21918
Mianserin,P14416
Mianserin,P28223
Mianserin,P18089
Mianserin,P31645
Mianserin,P41145
Mianserin,P25100
Mianserin,P08908
Mianserin,P21728
Mianserin,P35368
Mianserin,P35348
Mianserin,P30939
Mianserin,Q01959
Mianserin,P34969
Mianserin,P35462
Mianserin,P28335
Mianserin,P41595
Mianserin,P18825
Mianserin,P23975
Mianserin,P50406
Mianserin,Q9H3N8
Methylscopolamine bromide,P20309
Methylscopolamine bromide,P11229
Methylscopolamine bromide,P08172
Butabarbital,P47869
Butabarbital,P78334
Butabarbital,P36544
Butabarbital,P18505
Butabarbital,P43681
Butabarbital,P14867
Butabarbital,O00591
Butabarbital,P47870
Butabarbital,P42262
Butabarbital,Q13002
Butabarbital,O14764
Butabarbital,Q8N1C3
Butabarbital,P31644
Butabarbital,P34903
Butabarbital,P28472
Butabarbital,Q99928
Butabarbital,P48169
Butabarbital,Q16445
Butabarbital,Q9UN88
Butabarbital,P18507
Testosterone,P10275
Ginseng,P35869
Ginseng,P35354
Ginseng,P05231
Corticorelin ovine triflutate,P34998
Paramethadione,Q9P0X4
Chloropyramine,P35367
Dinoprostone,P35408
Dinoprostone,P43115
Dinoprostone,P34995
Dinoprostone,P43116
Procainamide,Q14524
Procainamide,P26358
Nitisinone,P32754
Prasugrel,Q9H244
Posaconazole,P10613
Naproxen,P23219
Naproxen,Q51911
Naproxen,P35354
Sibutramine,P31645
Sibutramine,Q01959
Sibutramine,P23975
Mafenide,P23280
Nilotinib,P00519
Nilotinib,P10721
Moclobemide,P21397
Progesterone,P06401
Progesterone,P05093
Progesterone,P41145
Progesterone,P08235
Progesterone,P03372
Carbamazepine,Q14524
Pefloxacin,P43700
Pefloxacin,P43702
Pefloxacin,Q06AK7
Pefloxacin,P11388
Bisoprolol,P08588
Bisoprolol,P07550
Norelgestromin,P06401
Paritaprevir,B0B3C9
Oxiconazole,Q04782
Oxiconazole,P10613
Prednicarbate,P04150
Troleandomycin,P49228
Troleandomycin,P60723
Anileridine,P35372
Oxymorphone,P35372
Oxymorphone,P41143
Scopolamine,P20309
Scopolamine,P08173
Scopolamine,P08912
Scopolamine,P14410
Scopolamine,P11229
Scopolamine,P08172
Indomethacin,P23219
Indomethacin,Q8N8N7
Indomethacin,P37231
Indomethacin,Q07869
Indomethacin,P35354
Indomethacin,Q9Y5Y4
Indomethacin,Q04760
Indomethacin,P14555
Nitrendipine,P54289
Nitrendipine,Q13698
Nitrendipine,Q08289
Nitrendipine,O95180
Nitrendipine,Q06432
Nitrendipine,Q01668
Nitrendipine,Q9NY47
Nitrendipine,Q13936
Tramadol,P20309
Tramadol,Q8TCU5
Tramadol,P35372
Tramadol,P31645
Tramadol,P41145
Tramadol,Q693P7
Tramadol,P28335
Tramadol,P23975
Tramadol,P41143
Mupirocin,P41972
Phenazopyridine,P35498
Proflavine,Q58L87
Proflavine,P00734
Proflavine,P0A0N4
Lenalidomide,P35354
Lenalidomide,P33151
Lenalidomide,Q96SW2
Lenalidomide,O14788
Flurandrenolide,P04150
Mecamylamine,Q15822
Orlistat,P49327
Orlistat,P16233
Orlistat,P07098
Imiquimod,Q9NYK1
Imiquimod,Q9NR97
Tazobactam,P62594
Tazobactam,P0AD63
Metaraminol,P35348
Rivastigmine,P06276
Rivastigmine,P22303
Tranylcypromine,P21397
Tranylcypromine,P27338
Nadolol,P08588
Nadolol,P07550
Eluxadoline,P35372
Eluxadoline,P41145
Eluxadoline,P41143
Flutemetamol (18F),P05067
Floxuridine,P04818
Loteprednol,P04150
Zileuton,P09917
Mefloquine,P29274
Mefloquine,P69905
Quinapril,P12821
Prazepam,P47869
Prazepam,P78334
Prazepam,P28476
Prazepam,P18505
Prazepam,P14867
Prazepam,O00591
Prazepam,P47870
Prazepam,O14764
Prazepam,Q8N1C3
Prazepam,P31644
Prazepam,P34903
Prazepam,A8MPY1
Prazepam,P28472
Prazepam,Q99928
Prazepam,P48169
Prazepam,Q16445
Prazepam,Q9UN88
Prazepam,P24046
Prazepam,P18507
Midazolam,P47869
Midazolam,P78334
Midazolam,P28476
Midazolam,P18505
Midazolam,P14867
Midazolam,O00591
Midazolam,P47870
Midazolam,O14764
Midazolam,Q8N1C3
Midazolam,P31644
Midazolam,P34903
Midazolam,A8MPY1
Midazolam,P28472
Midazolam,Q99928
Midazolam,P48169
Midazolam,Q16445
Midazolam,Q9UN88
Midazolam,P24046
Midazolam,P18507
Amlexanox,P80511
Amlexanox,P05230
Amlexanox,P08700
Amlexanox,Q99584
Benzonatate,Q14524
Triflusal,P23219
Triflusal,P35228
Triflusal,P19838
Triflusal,Q9Y233
Succinic acid,O15460
Succinic acid,Q12797
Succinic acid,Q32P28
Succinic acid,Q9P2R7
Succinic acid,Q9BXA5
Succinic acid,Q8IVL6
Succinic acid,Q9BZW2
Succinic acid,Q13183
Succinic acid,P31040
Succinic acid,Q8IVL5
Succinic acid,O60568
Succinic acid,Q96I99
Succinic acid,O75936
Succinic acid,P13674
Succinic acid,O14521
Succinic acid,O14756
Succinic acid,Q99643
Succinic acid,Q02809
Succinic acid,P51649
Succinic acid,P21912
Succinic acid,Q9BYC2
Succinic acid,Q9UBX3
Succinic acid,P53597
Succinic acid,P55809
Succinic acid,Q9NVH6
Succinic acid,Q8WWT9
Nepafenac,P23219
Nepafenac,P35354
Cefoxitin,Q7CRA4
Cefoxitin,P24228
Cefoxitin,Q75Y35
Cefoxitin,Q8DR59
Cefoxitin,P0AEB2
Cefoxitin,P02919
Cefoxitin,P0A3M6
Cefoxitin,Q8DNB6
Cefoxitin,P0AD68
Cefoxitin,P08506
Cefoxitin,P0AFI5
Cefoxitin,P02918
Antipyrine,P23219
Antipyrine,P35354
Disopyramide,P20309
Disopyramide,Q14524
Disopyramide,Q9UK17
Disopyramide,Q9NZV8
Disopyramide,P11229
Disopyramide,P08172
Alfentanil,P35372
Tyloxapol,P06858
Methantheline,P25021
Methantheline,P11229
Ibuprofen,P13569
Ibuprofen,P23219
Ibuprofen,P00750
Ibuprofen,P12104
Ibuprofen,P37231
Ibuprofen,P07204
Ibuprofen,P10415
Ibuprofen,P35354
Benzthiazide,P00915
Benzthiazide,P00918
Benzthiazide,O43570
Benzthiazide,P55017
Benzthiazide,P22748
Benzthiazide,Q16790
Estrone,P03372
Ganciclovir,P04293
Ganciclovir,P03176
Ethchlorvynol,P47869
Ethchlorvynol,P78334
Ethchlorvynol,P18505
Ethchlorvynol,P14867
Ethchlorvynol,O00591
Ethchlorvynol,P47870
Ethchlorvynol,O14764
Ethchlorvynol,Q8N1C3
Ethchlorvynol,P31644
Ethchlorvynol,P34903
Ethchlorvynol,P28472
Ethchlorvynol,Q99928
Ethchlorvynol,P48169
Ethchlorvynol,Q16445
Ethchlorvynol,Q9UN88
Ethchlorvynol,P18507
Capsaicin,Q8NER1
S-Adenosylmethionine,P21964
S-Adenosylmethionine,P31153
S-Adenosylmethionine,Q00266
S-Adenosylmethionine,P35520
S-Adenosylmethionine,P17707
S-Adenosylmethionine,Q14749
Drotaverine,P27815
Drotaverine,Q13936
Methazolamide,P00915
Methazolamide,P00918
Methazolamide,P43166
Methazolamide,P22748
Triprolidine,P35367
Dronabinol,P21554
Dronabinol,P34972
Sulbactam,P00807
Glutathione,P59796
Glutathione,O95881
Glutathione,P07203
Glutathione,Q03013
Glutathione,Q9H4Y5
Glutathione,P10768
Glutathione,P30711
Glutathione,O60760
Glutathione,P36969
Glutathione,P19440
Glutathione,P10620
Glutathione,P18283
Glutathione,O43708
Glutathione,P09488
Glutathione,Q6NSD4
Glutathione,Q9NS18
Glutathione,P48637
Glutathione,P28161
Glutathione,Q9Y2Q3
Glutathione,O15217
Glutathione,P22352
Glutathione,P00390
Glutathione,P21266
Glutathione,Q96SL4
Glutathione,P46439
Glutathione,Q16772
Glutathione,P09211
Glutathione,O75715
Glutathione,P78417
Glutathione,P09210
Glutathione,P08263
Glutathione,Q99735
Glutathione,P35754
Glutathione,Q8TED1
Glutathione,Q04760
Glutathione,O14880
Glutathione,Q7RTV2
Glutathione,Q16873
Glutathione,Q16775
Cephalexin,Q7CRA4
Cephalexin,Q75Y35
Cephalexin,Q8DR59
Cephalexin,P0A3M6
Cephalexin,Q8DNB6
Methacholine,P20309
Hyoscyamine,P20309
Hyoscyamine,P08173
Hyoscyamine,P11229
Hyoscyamine,P08172
Letrozole,P11511
Dicyclomine,P11229
Dicyclomine,P08172
Aceprometazine,P35367
Hydroquinone,P14679
Fosamprenavir,Q72874
Levothyroxine,P10827
Levothyroxine,P10828
Benzatropine,P35367
Benzatropine,Q01959
Benzatropine,P11229
Orciprenaline,P07550
Carvedilol,P19320
Carvedilol,P08913
Carvedilol,Q12809
Carvedilol,P15692
Carvedilol,P08588
Carvedilol,P18089
Carvedilol,P16581
Carvedilol,O95298
Carvedilol,P25100
Carvedilol,P35368
Carvedilol,Q16665
Carvedilol,P35348
Carvedilol,P07550
Carvedilol,P16860
Carvedilol,P18825
Carvedilol,P17302
Dabrafenib,P57059
Dabrafenib,P04049
Dabrafenib,Q8NG66
Dabrafenib,P53667
Dabrafenib,P15056
Pimozide,Q12809
Pimozide,P14416
Pimozide,P62158
Pimozide,P35462
Flurazepam,P47869
Flurazepam,P78334
Flurazepam,P28476
Flurazepam,P18505
Flurazepam,P14867
Flurazepam,O00591
Flurazepam,P47870
Flurazepam,O14764
Flurazepam,Q8N1C3
Flurazepam,P31644
Flurazepam,P34903
Flurazepam,A8MPY1
Flurazepam,P28472
Flurazepam,Q99928
Flurazepam,P48169
Flurazepam,Q16445
Flurazepam,Q9UN88
Flurazepam,P24046
Flurazepam,P18507
Dactinomycin,Q02880
Dactinomycin,P11388
Grazoprevir,Q5L478
Tolbutamide,P48048
Tolbutamide,Q09428
Thiopental,P47869
Thiopental,O00519
Thiopental,P36544
Thiopental,P43681
Thiopental,P14867
Thiopental,P42262
Thiopental,Q13002
Thiopental,P31644
Thiopental,P34903
Thiopental,P48169
Thiopental,Q16445
Sumatriptan,P28221
Sumatriptan,P08908
Sumatriptan,P28222
Sumatriptan,P30939
Droperidol,P14416
Droperidol,P35348
Leflunomide,Q14289
Leflunomide,Q02127
Leflunomide,P35869
Ticarcillin,C1KC03
Bromazepam,P47869
Bromazepam,P78334
Bromazepam,P28476
Bromazepam,P18505
Bromazepam,P14867
Bromazepam,O00591
Bromazepam,P47870
Bromazepam,O14764
Bromazepam,Q8N1C3
Bromazepam,P31644
Bromazepam,P34903
Bromazepam,A8MPY1
Bromazepam,P28472
Bromazepam,Q99928
Bromazepam,P48169
Bromazepam,Q16445
Bromazepam,Q9UN88
Bromazepam,P24046
Bromazepam,P18507
Tranilast,O60760
Adenosine monophosphate,P09467
Adenosine monophosphate,P55263
Adenosine monophosphate,P11309
Adenosine monophosphate,P33121
Adenosine monophosphate,Q08499
Adenosine monophosphate,P06737
Adenosine monophosphate,P49773
Adenosine monophosphate,Q9Y478
Adenosine monophosphate,Q07343
Adenosine monophosphate,Q13131
Adenosine monophosphate,O43741
Adenosine monophosphate,Q9NR19
Adenosine monophosphate,Q08828
Adenosine monophosphate,P16220
Adenosine monophosphate,Q9NUB1
Hydroxychloroquine,Q9NYK1
Hydroxychloroquine,Q9NR96
Anagrelide,Q14432
Lisuride,P08913
Lisuride,P21917
Lisuride,P28221
Lisuride,P21918
Lisuride,P14416
Lisuride,P28223
Lisuride,P18089
Lisuride,P08908
Lisuride,P21728
Lisuride,P28222
Lisuride,P35462
Lisuride,P28335
Lisuride,P41595
Lisuride,P18825
Ibandronate,P14324
Fluorescein,P06310
Amcinonide,P04150
Amcinonide,P04083
Benzoic Acid,P51151
Benzoic Acid,P0ACQ4
Benzoic Acid,Q52546
Benzoic Acid,P52758
Benzoic Acid,Q5PXQ6
Benzoic Acid,P30044
Benzoic Acid,P96965
Benzoic Acid,P06993
Benzoic Acid,O31168
Benzoic Acid,P32890
Benzoic Acid,Q01234
Benzoic Acid,Q9L9D7
Benzoic Acid,P14920
Benzoic Acid,O67987
Benzoic Acid,P31992
Vitamin E,P62714
Vitamin E,O75469
Vitamin E,Q9UDX4
Vitamin E,P23743
Vitamin E,P05771
Vitamin E,Q9UDX3
Vitamin E,P17252
Vitamin E,P09917
Vitamin E,O76054
Vitamin E,P67775
Lorcaserin,P28335
Sildenafil,Q13956
Sildenafil,O76074
Sildenafil,P18545
Sitagliptin,P27487
Cyclacillin,Q8XJ01
Cyclacillin,Q75Y35
Cyclacillin,Q8DR59
Cyclacillin,C1KC03
Famotidine,P25021
Cefixime,P44469
Mifepristone,P06401
Mifepristone,P04150
Clopidogrel,Q9H244
Dienestrol,P03372
Glycine,P41250
Glycine,P23415
Glycine,Q9H598
Glycine,P48067
Glycine,P23378
Glycine,P21549
Glycine,O60391
Glycine,P13196
Glycine,P48637
Glycine,Q53ET4
Glycine,Q6IB77
Glycine,Q8WU03
Glycine,Q969I3
Glycine,O75600
Glycine,P48167
Glycine,P23416
Glycine,P34897
Glycine,Q14032
Glycine,Q14957
Glycine,P50440
Glycine,Q12879
Glycine,Q9Y345
Glycine,Q9P0Z9
Glycine,O75311
Glycine,P22557
Glycine,Q9BYV1
Glycine,Q14749
Glycine,Q7Z2H8
Glycine,P34896
Glycine,P23434
Glycine,Q14330
Spironolactone,O00305
Spironolactone,P54289
Spironolactone,Q00975
Spironolactone,P06401
Spironolactone,P10275
Spironolactone,Q13698
Spironolactone,Q9H8P0
Spironolactone,Q6TME4
Spironolactone,P04150
Spironolactone,P04278
Spironolactone,Q08289
Spironolactone,O95180
Spironolactone,Q06432
Spironolactone,P19099
Spironolactone,Q8IZS8
Spironolactone,O43497
Spironolactone,P31213
Spironolactone,O60840
Spironolactone,O00555
Spironolactone,Q01668
Spironolactone,P18405
Spironolactone,Q9NY47
Spironolactone,Q02641
Spironolactone,Q9P0X4
Spironolactone,Q13936
Spironolactone,P08235
Spironolactone,P54284
Venlafaxine,P31645
Venlafaxine,Q01959
Venlafaxine,P23975
Dexfenfluramine,P31645
Dexfenfluramine,P28335
Duloxetine,P31645
Duloxetine,Q01959
Duloxetine,P23975
Sapropterin,P00439
Sapropterin,P17752
Sapropterin,P29474
Sapropterin,P07101
Netupitant,P25103
Isometheptene,P35348
Isometheptene,Q05940
Cobimetinib,Q02750
Moxonidine,Q9Y2I1
Chlorpromazine,P20309
Chlorpromazine,P08913
Chlorpromazine,P21917
Chlorpromazine,P35367
Chlorpromazine,Q12809
Chlorpromazine,P02763
Chlorpromazine,P21918
Chlorpromazine,P14416
Chlorpromazine,P28223
Chlorpromazine,P18089
Chlorpromazine,P25100
Chlorpromazine,P08908
Chlorpromazine,P21728
Chlorpromazine,P35368
Chlorpromazine,P35348
Chlorpromazine,P19652
Chlorpromazine,P11229
Chlorpromazine,P34969
Chlorpromazine,P62158
